id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1140635378227630612,Lovely 2 bed house Dundrum 10 min walk to tram,231839946,Nicola,,Dn Laoghaire-Rathdown,53.2792421,-6.246861399999999,Entire home/apt,186,2,13,2025-06-12,1.03,1,96,11,
1140673500178261975,Family home in Dublin,573705662,Simon,,South Dublin,53.3168529,-6.401673499999999,Entire home/apt,233,3,8,2024-08-25,0.72,1,64,8,
1140695080912611551,Studio apartment in South Dublin,361763748,Gavin,,Dublin City,53.32225,-6.2684,Entire home/apt,120,28,0,,,1,269,0,
1140955435009439361,Newly built  4-bedroom beach house,73384556,Carrie,,Fingal,53.42931,-6.13073,Entire home/apt,436,2,5,2024-08-24,0.40,1,82,4,
1141069924024925105,Ideal stay in Dublin City Centre :Entire & Private,555053325,Anthony,,Dublin City,53.352658644439764,-6.263714034200269,Entire home/apt,136,2,27,2025-06-09,1.97,7,78,26,
1141270296876912441,Room in Drumcondra,7824263,Stephen,,Dublin City,53.3762,-6.25745,Private room,150,1,1,2024-05-20,0.08,2,263,0,
1141663053210833121,Charming 3 bedrooms in the city,385582723,Thomas,,Dublin City,53.354442012505174,-6.233116149953987,Entire home/apt,,2,12,2024-10-13,0.89,3,0,9,
1142165214731997718,Portobello Townhouse,26409493,Ruth,,Dublin City,53.33262,-6.27417,Entire home/apt,405,2,18,2025-05-11,1.55,1,56,18,
1142206003156846413,Modern 1 bed with large terrace,574088472,Samantha,,Fingal,53.39655,-6.44123,Entire home/apt,172,30,0,,,1,268,0,
1142585171148908610,Cosy and Plush Portobello Apartment,165822628,Elaine,,Dublin City,53.333409750105254,-6.275310376196286,Entire home/apt,,3,7,2024-10-28,0.53,1,0,2,
1142626521407298776,GuestReady - Charming house in Drimnagh,574171170,Samantha,,Dublin City,53.32928,-6.32267,Entire home/apt,,1,18,2025-05-03,1.35,1,0,16,
1142638169410330239,Double bedroom - City Center Dublin,437356314,Khayam,,Dublin City,53.34861359446254,-6.27792913466692,Private room,122,1,11,2024-07-01,0.83,1,171,4,
1143213039401093914,Amazing 2BR apartment in Dublin 3!,385582723,Thomas,,Dublin City,53.3534547,-6.234689299999999,Entire home/apt,,2,0,,,3,0,0,
1143315461067422099,Charming Edwardian Quiet House,16324055,Isabel,,Dublin City,53.33407,-6.29258,Entire home/apt,261,2,17,2025-06-09,1.40,1,87,17,
1143365601309623315,Flat 3 Room C (En-suite),217755272,Pawan,,Dublin City,53.3576865,-6.2419392,Private room,99,1,37,2025-05-25,2.74,5,345,34,
1143371881147966346,Bright room in friendly home,17276292,Dolores,,Dublin City,53.32393664752484,-6.312094404754638,Private room,69,3,19,2025-06-08,1.48,1,31,17,
1143393674421388106,Home away from home,21427326,Julie,,Fingal,53.40886806995233,-6.174106938989385,Entire home/apt,,4,0,,,1,209,0,
1143425300203090173,GuestReady - Modernised cottage in Monkstown,574362623,Jennie,,Dn Laoghaire-Rathdown,53.29586,-6.16554,Entire home/apt,208,1,9,2025-06-01,0.75,1,138,9,
1143459312079276151,"Chez Jay 3, a stylish home in Ballsbridge Dublin",574375023,Ellison,,Dublin City,53.33083,-6.24566,Entire home/apt,900,5,8,2025-03-19,0.75,1,44,8,
1144162275182191680,Mountain View,240639688,Stav,,South Dublin,53.2799505,-6.316460699999999,Private room,66,1,0,,,1,78,0,
1144196493104498455,City Centre Cottage,38645695,Colm,,Dublin City,53.351363234156295,-6.284120678901672,Entire home/apt,85,3,11,2025-04-27,0.83,1,14,9,
1144262702464978442,Private Room in city center,574546403,Raul,,Dublin City,53.35159252897234,-6.268174692944368,Private room,,1,7,2024-06-03,0.52,4,0,0,
1144276143533492477,Central Dublin Bright Apartment,58983868,Nevan,,Dublin City,53.3292,-6.26048,Entire home/apt,140,3,4,2024-09-07,0.33,1,61,4,
1144277023211968943,Central Room in Dublin,574546403,Raul,,Dublin City,53.34831,-6.26053,Private room,,1,7,2024-06-19,0.52,4,0,2,
1144339054991738584,Ensuite Room in Dublin,574565548,King,,Dublin City,53.317783342755845,-6.288415187797464,Private room,93,2,1,2025-03-16,0.33,6,46,1,
1144659801476685114,GRAB HOUSE Swords,574620446,Alexandra Cristina,,Fingal,53.47376,-6.2494,Entire home/apt,,1,1,2024-08-24,0.10,1,327,1,
1144703133052399938,Large room in Drumcondra,520291668,Conor,,Dublin City,53.36959093424716,-6.261182526841221,Private room,103,1,40,2025-06-01,3.02,1,174,32,
1144756982303781196,Double room in Dublin,574565548,King,,Dublin City,53.31768,-6.28874,Private room,67,2,1,2025-05-26,1,6,53,1,
1144763626178447734,"Double room, garden view, Dublin",574565548,King,,Dublin City,53.31787,-6.28814,Private room,77,2,2,2025-02-04,0.40,6,49,2,
1144766883664330164,Twin room in Dublin,574565548,King,,Dublin City,53.31741,-6.2882,Private room,67,2,1,2024-05-18,0.08,6,40,0,
1144768807258414228,En-suite twin room in Dublin,574565548,King,,Dublin City,53.3179,-6.2903,Private room,67,2,1,2025-04-28,0.64,6,200,1,
1144884256200656731,Perfectly Located City Home,116802629,Ruth,,Dublin City,53.34066379999999,-6.2427063,Entire home/apt,,2,0,,,1,68,0,
1144903351488464508,Peace inside-out 1,571452592,Sidra,,South Dublin,53.345876189782686,-6.414543415606695,Private room,80,1,9,2025-02-08,0.79,3,14,9,
1145043082676210050,Flat 3 Room A,217755272,Pawan,,Dublin City,53.35828,-6.24098,Private room,99,1,38,2025-05-25,2.81,5,341,32,
1145050247715305436,Flat 3 Room B,217755272,Pawan,,Dublin City,53.35672998752957,-6.242411563962267,Private room,99,1,16,2025-05-12,1.19,5,356,9,
1145531452013095722,Central located Cosy  room in Rialto,574828411,Gokhan,,Dublin City,53.34044,-6.28639,Private room,95,1,2,2025-05-25,0.62,1,156,2,
1145542745983592893,Habitación en excelente área D6,58282931,Fabiola,,Dublin City,53.31378595445494,-6.279643810087516,Private room,78,2,0,,,2,365,0,
1145604191519931153,"2BR Cosy Nest, 30 mins to center",79502244,Anshul,,Dn Laoghaire-Rathdown,53.25838023909751,-6.203044876456261,Entire home/apt,,1,5,2024-05-25,0.37,1,0,0,
1145645648798058298,South City Dublin Georgian,4829701,Dale,,Dublin City,53.33472292423622,-6.292551074175581,Entire home/apt,,5,0,,,2,0,0,
1145679492699278122,Home in Rialto Dublin 8,4829701,Dale,,Dublin City,53.33522870609505,-6.294847489065953,Entire home/apt,,5,0,,,2,0,0,
1145697820884376593,Riverside modern gem in Dublin,58505443,Krzysztof,,Dublin City,53.3479561,-6.345984,Entire home/apt,320,3,13,2024-10-30,1.26,3,0,13,
1145705198866296400,Victorian Townhouse Rathmines,21889309,Sarah,,Dublin City,53.325858877437284,-6.260765365402346,Entire home/apt,405,2,3,2024-08-25,0.29,1,13,3,
1146198662255919708,City Garden Escape,3221465,Patrick,,Dublin City,53.34153060628979,-6.300113685429096,Entire home/apt,,2,6,2024-11-17,0.51,1,0,6,
1146270610287977455,Stylish house in Dublin,385582723,Thomas,,Dublin City,53.35293542966789,-6.233577062429234,Entire home/apt,,4,0,,,3,0,0,
1146418705832390438,Prime Dublin City Location.,452663646,Annemarie,,Dublin City,53.3403100179025,-6.263795891472018,Entire home/apt,,3,1,2024-08-26,0.10,2,0,1,
1146422133687881091,Two bed / Two bath house,575050794,Ann,,Dublin City,53.35494669949598,-6.238611924394397,Private room,234,1,0,,,1,263,0,
1146496270142262539,Calm family home close to city centre,427540886,Aoife,,Dublin City,53.33373766073727,-6.276604406752268,Entire home/apt,,3,6,2024-06-24,0.47,1,0,3,
1146533633179581182,Beautiful 2 bedroom flat,134518478,Justine,,Dublin City,53.32958221779338,-6.2226182656696825,Entire home/apt,,1,2,2024-07-01,0.16,1,67,1,
1146847502899939024,Nessa house (double room).,568893687,Alex,,Fingal,53.37385,-6.39348,Private room,100,1,0,,,2,268,0,
1147174109639582633,Peaceful Retreat in Stillorgan,45225942,Lorcan,,Dn Laoghaire-Rathdown,53.28508,-6.19856,Entire home/apt,108,2,0,,,1,252,0,
1147614928001534961,Peaceful En-suite Room,571582256,Dimpy,,Dn Laoghaire-Rathdown,53.27878,-6.20433,Private room,99,1,12,2024-09-16,0.94,1,40,7,
1147730393512640184,GuestReady - Amazing house in Sandymount,575381350,Emer,,Dublin City,53.33093,-6.21367,Entire home/apt,310,1,16,2025-05-18,1.29,1,318,15,
1147762524840527180,Near Dublin Airport Cosy home - Twin Room,545542658,Carol,,Fingal,53.453882,-6.2479947,Private room,162,1,10,2024-09-05,0.77,3,246,7,
1147835825608445338,Lovely place in Stoneybatter,32042551,Leo,,Dublin City,53.35306,-6.29097,Private room,134,2,25,2025-05-25,1.88,1,6,20,
1148601843579280251,"Own Entrance, Dublin Room with a View!",187474138,Sandra,,Dublin City,53.39064629277835,-6.269254370572168,Entire home/apt,146,2,40,2025-06-08,3.08,1,61,33,
1148785232506108647,CAS Terenure 5 bedroom,395017392,Pat,,Dublin City,53.30719946106153,-6.2995001301169395,Entire home/apt,330,15,3,2024-08-22,0.25,6,364,3,
1149079530321563929,Studio apartment on Howth Hill,3575275,Hilary,,Fingal,53.37222,-6.06302,Entire home/apt,179,2,24,2025-06-08,1.98,1,100,24,
1149114702271833552,Peaceful Dublin home near Dart.,439223939,Gabrielle,,Dn Laoghaire-Rathdown,53.30817,-6.1973,Private room,185,2,4,2025-06-01,0.37,2,104,4,
1149191734481708961,Charming Double Bedroom,444128497,Mildred,,Dublin City,53.35997320665173,-6.2447544986170715,Private room,,2,1,2025-03-19,0.34,21,0,1,
